iter	Logloss
0	0.685273933
1	0.6781230944
2	0.6723918128
3	0.6658427493
4	0.6592280182
5	0.6536226564
6	0.6477944693
7	0.6430173614
8	0.6381526073
9	0.6339856805
10	0.6298654256
11	0.6261914383
12	0.6225876146
13	0.6186876957
14	0.6156759258
15	0.6126623889
16	0.6095457723
17	0.6067675372
18	0.6039229612
19	0.6012835282
20	0.5991059653
21	0.5969330735
22	0.5950387615
23	0.5926505414
24	0.5904467501
25	0.5886599737
26	0.5873533643
27	0.585886253
28	0.5842596257
29	0.5830579645
30	0.5812165009
31	0.5800793867
32	0.5787531316
33	0.5773845865
34	0.5762090216
35	0.5753159014
36	0.5742174527
37	0.5733298179
38	0.5721935934
39	0.5710410566
40	0.5701019134
41	0.5695122165
42	0.5683361705
43	0.5676978821
44	0.5668180508
45	0.5660113303
46	0.5652710535
47	0.5646669704
48	0.5639591241
49	0.5632940606
50	0.562774839
51	0.5620395741
52	0.5617515136
53	0.560910738
54	0.560287792
55	0.5598608198
56	0.5595091661
57	0.5590716781
58	0.5587631975
59	0.5585383675
60	0.558390022
61	0.5579819005
62	0.5576197412
63	0.5573728352
64	0.5570116723
65	0.5566295109
66	0.5563722191
67	0.5561520699
68	0.5557740838
69	0.555390807
70	0.5551706504
71	0.5548663719
72	0.5545803734
73	0.5542340725
74	0.5539162001
75	0.5536109813
76	0.5534047935
77	0.5531785335
78	0.5529145179
79	0.5527488485
80	0.5524450673
81	0.5522933734
82	0.5521200128
83	0.5517908025
84	0.5515828152
85	0.5513890667
86	0.5512727546
87	0.5511895248
88	0.5509406518
89	0.5507690052
90	0.5506715178
91	0.5505073838
92	0.5503823918
93	0.5502087663
94	0.5500323347
95	0.5499099103
96	0.5498263482
97	0.5498016782
98	0.5496892883
99	0.549516985
100	0.5494224743
101	0.5493440362
102	0.5492365208
103	0.5491207693
104	0.5490510594
105	0.5489575335
106	0.5487336654
107	0.5486871777
108	0.5484802364
109	0.548352999
110	0.5482913447
111	0.5481401285
112	0.5480658487
113	0.5479807747
114	0.5478149318
115	0.5476824245
116	0.5476065374
117	0.5475027629
118	0.547454644
119	0.5473979262
120	0.547325811
121	0.5471449151
122	0.5470708418
123	0.546987063
124	0.5468975712
125	0.5468273073
126	0.54676064
127	0.5466225558
128	0.5465003656
129	0.5464792792
130	0.5464235679
131	0.5463819551
132	0.5462580157
133	0.5461681026
134	0.5460796778
135	0.5460182784
136	0.5458547985
137	0.5458109859
138	0.5457607669
139	0.5456482932
140	0.5456207019
141	0.5456029014
142	0.5455900866
143	0.5454897524
144	0.5454622911
145	0.5454264992
146	0.5453887189
147	0.545230528
148	0.5451722803
