iter	Passed	Remaining
0	21	4367
1	31	3143
2	45	2994
3	58	2875
4	75	2937
5	95	3072
6	111	3077
7	122	2928
8	136	2886
9	147	2801
10	162	2790
11	174	2729
12	187	2698
13	202	2685
14	221	2725
15	232	2677
16	244	2635
17	259	2621
18	277	2644
19	291	2626
20	309	2634
21	321	2603
22	334	2573
23	349	2559
24	362	2538
25	373	2501
26	384	2466
27	394	2423
28	405	2390
29	416	2360
30	429	2339
31	438	2303
32	447	2263
33	460	2249
34	473	2230
35	485	2211
36	495	2182
37	504	2151
38	516	2131
39	527	2110
40	538	2089
41	550	2071
42	560	2045
43	571	2027
44	582	2005
45	593	1986
46	604	1969
47	616	1953
48	628	1935
49	638	1916
50	650	1900
51	661	1882
52	672	1865
53	683	1849
54	696	1835
55	707	1819
56	716	1798
57	728	1783
58	738	1765
59	751	1753
60	761	1734
61	773	1721
62	785	1707
63	796	1693
64	808	1678
65	818	1661
66	832	1653
67	844	1639
68	858	1630
69	872	1620
70	885	1609
71	896	1593
72	905	1574
73	915	1558
74	925	1542
75	936	1527
76	948	1515
77	963	1506
78	975	1493
79	989	1483
80	1002	1472
81	1012	1457
82	1023	1443
83	1035	1429
84	1047	1417
85	1060	1405
86	1072	1393
87	1081	1376
88	1093	1364
89	1104	1349
90	1114	1335
91	1129	1326
92	1141	1313
93	1151	1298
94	1162	1284
95	1172	1270
96	1183	1256
97	1197	1246
98	1208	1233
99	1218	1218
100	1232	1208
101	1244	1195
102	1253	1180
103	1265	1167
104	1275	1153
105	1286	1140
106	1296	1127
107	1308	1114
108	1319	1101
109	1330	1088
110	1346	1079
111	1357	1066
112	1368	1053
113	1379	1040
114	1389	1027
115	1400	1014
116	1417	1005
117	1434	996
118	1451	988
119	1461	974
120	1474	962
121	1490	953
122	1500	939
123	1515	928
124	1531	918
125	1542	905
126	1554	893
127	1565	880
128	1576	867
129	1586	854
130	1597	841
131	1607	827
132	1619	816
133	1631	803
134	1644	791
135	1658	780
136	1674	770
137	1688	758
138	1704	748
139	1722	738
140	1738	727
141	1759	718
142	1776	708
143	1795	698
144	1808	685
145	1825	675
146	1838	662
147	1859	653
148	1871	640
149	1884	628
150	1901	616
151	1914	604
152	1928	592
153	1943	580
154	1956	568
155	1970	555
156	1981	542
157	1996	530
158	2009	518
159	2019	504
160	2029	491
161	2041	478
162	2055	466
163	2071	454
164	2087	442
165	2104	431
166	2119	418
167	2135	406
168	2147	393
169	2162	381
170	2176	369
171	2189	356
172	2204	344
173	2217	331
174	2232	318
175	2252	307
176	2266	294
177	2281	282
178	2295	269
179	2308	256
180	2327	244
181	2339	231
182	2352	218
183	2365	205
184	2378	192
185	2389	179
186	2403	167
187	2416	154
188	2429	141
189	2446	128
190	2462	116
191	2475	103
192	2491	90
193	2508	77
194	2520	64
195	2534	51
196	2544	38
197	2557	25
198	2570	12
199	2590	0
